Run Type,NumCPU,NumNodes,ParticleCount,Total Elapsed Time 1(s),Total Elapsed Time 2(s),Total Elapsed Time 3(s),Total Elapsed Time Average(seconds),Speedup
OPENHYBRID(x4),8,4,4096,250.09,245.332,245.626,247.016,3.811398182
OPENHYBRID(x4),9,4,4096,238.724,228.477,224.603,230.6013333,4.08270117
OPENHYBRID(x4),10,4,4096,207.041,214.785,208.909,210.245,4.477996306
OPENHYBRID(x4),11,4,4096,201.387,200.453,202.504,201.448,4.673545199
OPENHYBRID(x4),12,4,4096,193.182,206.794,195.395,198.457,4.743981484
OPENHYBRID(x1),1,1,16384,56065.9,56067.8,56064.3,56066,1
OPENHYBRID(x1),2,1,16384,28075.5,28042.9,28039.8,28052.73333,1.998593126
OPENHYBRID(x1),3,1,16384,18590.7,18644.8,18791.3,18675.6,3.002098995
OPENHYBRID(x1),4,1,16384,14122.8,14044.8,14119.1,14095.56667,3.977562684
OPENHYBRID(x1),5,1,16384,11215.8,11196.5,11215.8,11209.36667,5.001709878
OPENHYBRID(x1),6,1,16384,9332.49,9331.33,9339.83,9334.55,6.006288466
OPENHYBRID(x1),7,1,16384,12438.3,12440.2,12446.2,12441.56667,4.506345663
OPENHYBRID(x1),8,1,16384,11065.8,11050.1,11052.8,11056.23333,5.070985599
OPENHYBRID(x1),9,1,16384,9879.55,9875.3,9883.41,9879.42,5.675029506
OPENHYBRID(x1),10,1,16384,10165.4,10165.3,10150.9,10160.53333,5.518017429
OPENHYBRID(x1),11,1,16384,9896.41,9902.56,9899.34,9899.436667,5.663554593
OPENHYBRID(x1),12,1,16384,9458.44,9456.32,9446.79,9453.85,5.930493926
OPENHYBRID(x2),1,2,16384,28350.4,28347.1,28344.6,28347.36667,1
OPENHYBRID(x2),2,2,16384,27616.1,27410.7,27387.1,27471.3,1.031890252
OPENHYBRID(x2),3,2,16384,9529.97,9493.78,9514.04,9512.596667,2.979981982
OPENHYBRID(x2),4,2,16384,12741.9,12863.6,12566.7,12724.06667,2.227854302
OPENHYBRID(x2),5,2,16384,5747.67,5810.22,5864.68,5807.523333,4.881145549
OPENHYBRID(x2),6,2,16384,5077.02,4885.97,4810.1,4924.363333,5.756554656
OPENHYBRID(x2),7,2,16384,6580.79,6563.01,6565.93,6569.91,4.314726788
OPENHYBRID(x2),8,2,16384,6960.65,6958.46,6945.57,6954.893333,4.075888056
OPENHYBRID(x2),9,2,16384,5472.87,5470.1,5478.34,5473.77,5.178764667
OPENHYBRID(x2),10,2,16384,5586.35,5590.19,5589.95,5588.83,5.072146884
OPENHYBRID(x2),11,2,16384,5211.6,5238.04,5233.6,5227.746667,5.422482855
OPENHYBRID(x2),12,2,16384,5800.19,5788.84,5833.94,5807.656667,4.881033487
OPENHYBRID(x3),1,3,16384,18700.2,18703.8,18695.4,18699.8,1
OPENHYBRID(x3),2,3,16384,9398.01,9404,9388.67,9396.893333,1.989998113
